0 [1,65738L,198685L,68281L,88281L,0,286966L,10,1.74]
0 [1,10758L,35854L,5421L,21251L,0,57105L,11,1.76]
0 [1,15384L,99281L,11093L,18316L,0,117597L,11,1.76]
0 [1,55530L,39511L,6266L,60473L,0,99984L,11,3.41]
0 [1,39304L,22639L,11484L,26315L,0,48954L,154,1.76]
0 [1,103886L,105811L,13624L,157807L,0,263618L,15,3.56]
0 [1,3272L,98162L,17133L,9675L,0,107837L,11,1.74]
0 [1,7788L,40474L,9771L,21842L,0,62316L,9,1.89]
0 [1,8640L,83251L,21848L,131531L,0,214782L,11,1.74]
0 [1,17141L,136506L,110320L,67062L,0,203568L,18,1.74]
0 [1,12428L,31868L,4996L,16264L,0,48132L,11,1.76]
0 [1,18816L,69055L,4356L,53250L,0,122305L,11,1.74]
0 [1,87194L,155753L,7038L,132659L,0,288412L,11,3.8]
0 [1,6695L,42505L,6111L,32280L,0,74785L,16,1.75]
0 [1,4604L,54150L,10143L,21921L,0,76071L,17,1.76]
0 [1,42046L,47771L,9290L,46986L,0,94757L,11,3.56]
0 [1,10833L,37522L,3341L,133679L,0,171201L,14,1.71]
0 [1,-1,85053L,10376L,1509779704526L,0,1509779789579L,10,0]
0 [1,5723L,128400L,62073L,10693L,0,139093L,20,1.34]
0 [1,5907L,58304L,23782L,44078L,0,102382L,10,1.04]
0 [1,0L,16095L,8505L,3733L,0,19828L,8,0]
0 [1,0L,25392L,16737L,11283L,0,36675L,8,0]
0 [1,0L,49538L,11025L,20590L,0,70128L,11,0]
0 [1,147851L,68502L,48155L,201699L,0,270201L,8,13.1]
0 [1,14307L,20507L,11575L,80495L,0,101002L,8,4.26]
0 [1,45360L,94295L,69604L,113550L,0,207845L,12,14.08]
0 [1,0L,24549L,16672L,40615L,0,65164L,8,0]
0 [1,37802L,398984L,21577L,70433L,0,469417L,10,1.79]
0 [1,81158L,162995L,12103L,150575L,0,313570L,18,3.17]
0 [1,300L,17364L,11372L,1410L,0,18774L,7,3.88]
0 [1,8395L,22723L,4386L,11402L,0,34125L,8,2.96]
